["3->7", 30786]
["7->3", 22470]
["7->11", 15371]
["11->15", 12882]
["14->10", 10038]
["11->7", 9954]
["8->12", 9707]
["12->16", 9428]
["7->6", 9403]
["4->8", 9176]
["8->4", 8696]
["10->14", 8516]
["10->11", 8032]
["14->18", 7835]
["16->20", 7574]
["6->10", 7530]
["16->12", 7501]
["12->8", 7495]
["6->2", 6992]
["3->4", 6481]
["15->16", 6417]
["6->7", 6368]
["2->6", 5382]
["18->17", 5185]
["10->6", 5170]
["4->3", 4775]
["20->19", 4735]
["18->14", 4661]
["15->14", 4579]
["11->10", 4474]
["16->19", 4345]
["12->11", 4288]
["8->7", 4286]
["19->15", 4280]
["6->5", 3901]
["11->12", 3791]
["3->2", 3545]
["15->11", 3496]
["19->18", 3476]
["15->19", 3390]
["7->8", 3339]
["5->9", 3234]
["20->16", 3022]
["10->9", 2992]
["1->5", 2901]
["9->10", 2881]
["5->6", 2797]
["5->1", 2771]
["7->4", 2535]
["19->20", 2464]
["19->16", 2386]
["2->3", 2380]
["19->14", 2291]
["9->5", 2272]
["9->13", 2188]
["14->19", 1996]
["17->18", 1937]
["18->19", 1840]
["13->17", 1825]
["16->15", 1622]
["13->9", 1346]
["17->13", 1270]
["11->6", 1034]
["15->20", 879]
["6->1", 875]
["14->13", 798]
["13->14", 761]
["1->6", 758]
["14->15", 429]
["12->7", 112]
["3->6", 107]
["6->3", 95]
["5->13", 88]
["20->15", 80]
["10->7", 80]
["3->11", 79]
["3->8", 77]
["11->3", 73]
["8->3", 73]
["3->10", 66]
["7->12", 64]
["18->13", 64]
["15->10", 62]
["12->3", 62]
["10->3", 59]
["13->5", 56]
["16->8", 55]
["7->10", 55]
["3->12", 52]
["7->15", 50]
["14->11", 48]
["4->2", 48]
["13->18", 40]
["7->14", 40]
["11->14", 40]
["19->3", 39]
["6->11", 38]
["19->7", 38]
["3->15", 37]
["3->19", 37]
["14->3", 36]
["3->14", 35]
["14->7", 35]
["15->7", 34]
["16->3", 33]
["8->16", 32]
["9->3", 32]
["20->7", 32]
["11->16", 31]
["15->3", 30]
["7->16", 30]
["4->7", 30]
["9->14", 30]
["8->11", 30]
["14->6", 28]
["20->3", 28]
["10->15", 28]
["3->16", 28]
["5->10", 27]
["7->19", 27]
["11->8", 27]
["4->6", 26]
["16->11", 26]
["4->11", 26]
["16->7", 26]
["3->9", 26]
["19->10", 26]
["4->16", 26]
["4->12", 26]
["20->12", 25]
["17->19", 25]
["10->5", 25]
["2->4", 25]
["10->19", 24]
["6->4", 23]
["12->20", 23]
["20->17", 22]
["8->19", 22]
["19->8", 21]
["12->4", 21]
["6->14", 20]
["12->14", 20]
["15->12", 20]
["7->20", 20]
["19->11", 20]
["7->5", 20]
["5->7", 20]
["7->9", 19]
["8->14", 19]
["11->19", 19]
["8->6", 19]
["3->5", 19]
["12->15", 19]
["6->8", 19]
["5->17", 19]
["4->19", 19]
["2->7", 18]
["7->2", 18]
["10->8", 18]
["4->10", 18]
["3->20", 17]
["3->13", 17]
["18->10", 16]
["20->8", 16]
["5->3", 16]
["11->4", 16]
["19->4", 15]
["14->12", 15]
["20->6", 15]
["12->10", 15]
["9->7", 14]
["6->12", 14]
["4->15", 14]
["13->3", 14]
["17->9", 14]
["14->9", 14]
["8->20", 13]
["17->3", 13]
["11->9", 13]
["18->3", 13]
["20->10", 13]
["15->8", 13]
["14->8", 12]
["12->6", 12]
["17->14", 12]
["20->4", 12]
["14->16", 12]
["8->10", 12]
["17->6", 12]
["16->14", 12]
["16->4", 12]
["10->12", 12]
["17->7", 11]
["19->6", 11]
["13->11", 11]
["9->11", 11]
["10->4", 11]
["16->10", 11]
["19->12", 11]
["9->17", 11]
["6->15", 11]
["10->18", 10]
["15->4", 10]
["6->9", 10]
["4->14", 10]
["14->5", 10]
["11->5", 10]
["17->11", 10]
["2->11", 10]
["6->16", 10]
["14->17", 10]
["11->13", 9]
["20->11", 9]
["11->20", 9]
["7->13", 9]
["12->19", 9]
["8->15", 9]
["2->10", 9]
["20->14", 8]
["6->19", 8]
["19->17", 8]
["10->13", 8]
["18->6", 8]
["9->12", 8]
["5->14", 8]
["17->8", 8]
["10->16", 8]
["5->11", 8]
["13->10", 8]
["13->7", 8]
["17->5", 8]
["10->20", 8]
["14->4", 8]
["2->14", 8]
["18->4", 8]
["14->20", 7]
["17->10", 7]
["10->17", 7]
["1->3", 7]
["3->1", 7]
["11->2", 7]
["16->6", 7]
["15->18", 7]
["9->6", 6]
["16->9", 6]
["11->18", 6]
["5->4", 6]
["6->18", 6]
["18->12", 6]
["3->18", 6]
["4->13", 6]
["8->18", 6]
["18->7", 6]
["8->2", 6]
["15->6", 6]
["7->17", 6]
["19->9", 6]
["2->16", 6]
["3->17", 6]
["20->9", 6]
["5->19", 6]
["17->20", 6]
["5->8", 6]
["17->16", 5]
["9->8", 5]
["20->18", 5]
["2->15", 5]
["13->12", 5]
["12->13", 5]
["13->4", 5]
["4->5", 5]
["16->2", 5]
["13->15", 5]
["6->13", 5]
["17->4", 5]
["10->2", 5]
["9->19", 5]
["18->11", 5]
["14->2", 5]
["8->9", 5]
["18->15", 5]
["13->8", 5]
["7->18", 5]
["4->18", 5]
["13->19", 4]
["13->16", 4]
["9->18", 4]
["16->18", 4]
["16->5", 4]
["8->5", 4]
["5->16", 4]
["4->20", 4]
["6->17", 4]
["14->1", 4]
["4->9", 4]
["19->5", 4]
["17->12", 4]
["20->13", 4]
["8->13", 4]
["20->2", 4]
["6->20", 4]
["2->8", 4]
["1->10", 4]
["10->1", 4]
["16->13", 4]
["9->4", 4]
["18->9", 4]
["18->8", 4]
["12->9", 4]
["17->2", 3]
["18->16", 3]
["12->18", 3]
["19->13", 3]
["2->18", 3]
["19->2", 3]
["20->5", 3]
["5->12", 3]
["12->5", 3]
["13->6", 3]
["1->14", 3]
["17->15", 3]
["9->20", 3]
["2->1", 3]
["2->9", 3]
["15->17", 3]
["9->16", 3]
["5->2", 3]
["2->5", 3]
["5->15", 3]
["15->5", 3]
["5->18", 2]
["18->5", 2]
["15->2", 2]
["11->17", 2]
["18->2", 2]
["15->9", 2]
["18->20", 2]
["15->1", 2]
["13->1", 2]
["12->1", 2]
["5->20", 2]
["12->17", 2]
["12->2", 2]
["2->12", 2]
["1->15", 2]
["9->1", 2]
["1->19", 2]
["8->17", 2]
["2->20", 2]
["8->1", 2]
["17->1", 1]
["1->16", 1]
["16->17", 1]
["9->15", 1]
["1->13", 1]
["11->1", 1]
["2->19", 1]
["1->9", 1]
["1->11", 1]
["7->1", 1]
["1->7", 1]
["13->20", 1]
["9->2", 1]
["15->13", 1]
["18->1", 1]
["1->18", 1]
["16->1", 1]
["1->12", 1]
["2->13", 1]
["1->2", 1]
